,aac,bwt,fwt,afm,n_tasks,dataset,algo,datetime,dataset_name,agent_name,lr,batch_size,hidden_dim,nepoch,reg_coef,subset_size
43,20.0,-24.757894736842108,0.35789473684210493,31.97894736842106,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.01,64,100,50,10.0,
44,20.0,-6.031578947368421,0.3473684210526314,8.6,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.01,32,100,50,10000.0,
45,20.0,-7.852631578947368,0.8421052631578947,10.49473684210526,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.01,64,100,50,100.0,
46,20.0,-3.0842105263157893,0.5789473684210525,4.347368421052631,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.01,64,100,50,1000.0,
6,19.940000000000005,-1.042105263157894,-0.6842105263157895,1.747368421052631,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,1e-05,256,100,50,100.0,
0,19.430000000000003,-0.15789473684210537,-0.821052631578947,1.1894736842105262,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,1e-05,256,100,50,1000.0,
49,70.32000000000001,-4.705263157894735,0.45263157894736833,6.2631578947368425,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.01,256,100,50,1.0,
65,68.17000000000002,-5.800000000000001,0.9368421052631577,7.2631578947368425,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.1,256,100,50,0.1,
48,66.15,-14.442105263157897,0.27368421052631586,14.505263157894738,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.01,256,100,50,0.1,
20,65.09,-4.610526315789474,0.9157894736842108,5.978947368421053,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.001,32,100,50,10.0,
26,64.35000000000001,-4.199999999999999,1.1789473684210525,5.315789473684208,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.001,64,100,50,10.0,
19,61.54999999999999,-12.74736842105263,1.0,14.263157894736842,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.001,32,100,50,1.0,
