,aac,bwt,fwt,afm,n_tasks,dataset,algo,datetime,dataset_name,agent_name,lr,batch_size,hiddens,epochs_per_task,gamma,dropout
13,46.17120068843201,-6.702274329590382,0.2500004023369376,6.853961853291557,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,75,0.5,0.5
141,46.02414294150397,-5.107177894278954,0.47118274618025296,5.283856339508637,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,10,0.6000000000000001,0.5
359,45.9581746850734,-22.780196155539713,0.5986978806906469,22.780196155539713,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,10,1.0,0.0
21,45.89612275054107,-10.443648918368536,0.35876826825807845,10.443648918368536,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,10,0.5,0.0
192,45.738536228029524,-18.346772638818596,1.0583465385119344,18.346772638818596,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,75,0.7000000000000001,0.0
206,45.46268957888007,-7.128560326659605,0.8936383728266174,7.258010164847308,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,10,0.7000000000000001,0.5
168,45.381909341407045,-21.60332005501347,0.7897177723183079,21.60332005501347,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,75,0.7000000000000001,0.0
286,45.316417505444036,-22.757939377642003,-0.23779332739963696,22.757939377642003,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,10,0.9,0.0
152,45.28358859156187,-10.041368962426175,0.11191978428111311,10.041368962426175,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,10,0.7000000000000001,0.2
178,45.213018184622136,-9.398777411433816,0.1887966310825224,9.398777411433816,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,10,0.7000000000000001,0.2
176,45.16465152302825,-8.096518904195174,1.306749686453006,8.096518904195174,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,10,0.7000000000000001,0.30000000000000004
240,45.142314007880486,-20.57871853354239,0.2378977600984059,20.57871853354239,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,75,0.8,0.0
65,45.128974616219864,-5.459995876370466,1.4327517126162586,5.5974124448824405,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,10,0.5,0.4
210,45.01919356563672,-20.11894030370508,0.21773891676812626,20.11894030370508,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,10,0.8,0.0
278,44.99082346312855,-12.99786265154036,1.0128966425572152,12.99786265154036,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,10,0.8,0.30000000000000004
73,44.64994909115546,-14.818957288955582,0.7267329917178085,14.818957288955582,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,75,0.5,0.0
202,44.56029732376693,-16.004690322260302,2.081048978936657,16.079261537771114,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,10,0.7000000000000001,0.0
190,44.530428479558324,-7.871336474228989,1.4353693106682046,7.871336474228989,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,10,0.7000000000000001,0.4
151,44.5008531564024,-12.18473253213566,0.7521984798565988,12.18473253213566,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,64,256,75,0.7000000000000001,0.2
382,44.488452808253356,-22.63347178953387,1.3316938384818817,22.63347178953387,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,10,1.0,0.0
153,44.3633451853394,-10.36908423970568,0.5436621299625535,10.36908423970568,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,64,256,75,0.7000000000000001,0.30000000000000004
154,44.2944576549101,-13.728418264650527,0.5224403019083154,13.728418264650527,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,64,256,75,0.7000000000000001,0.1
315,44.17810623237635,-22.113612930413495,1.6232548343850202,22.113612930413495,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,10,0.9,0.0
173,44.1605820414204,-11.63330426256639,0.6766291319263396,11.63330426256639,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,10,0.7000000000000001,0.1
204,44.05573381621629,-18.246038915379433,0.17972019475575238,18.246038915379433,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,75,0.7000000000000001,0.5
161,43.958418590704284,-8.935769663402093,0.3938623280050886,8.935769663402093,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,64,256,75,0.7000000000000001,0.4
159,43.94417086929327,-13.058028362576184,-0.04041028188921558,13.058028362576184,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,10,0.7000000000000001,0.1
15,43.90373051922182,-3.3528135029726482,1.0765754683523427,3.3528135029726482,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,10,0.5,0.30000000000000004
150,43.82711617482795,-9.904870167909841,0.5408170415393628,9.904870167909841,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,10,0.7000000000000001,0.30000000000000004
148,43.82243428361922,-7.705128363799706,0.5412032660669198,7.705128363799706,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,10,0.7000000000000001,0.4
189,43.80228258565305,-6.478959831009508,1.0328080347121098,6.478959831009508,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,10,0.7000000000000001,0.5
239,43.740479804625245,-20.37161970466997,1.5452278971059574,20.37161970466997,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,10,0.8,0.0
10,43.672164894054276,-3.9494820908475834,1.7468130497745844,4.452276948099932,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,10,0.5,0.5
358,43.4910909657494,-27.429314110210214,1.2279952993300918,27.429314110210214,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,75,1.0,0.0
167,43.489184231543625,-12.487028981280197,1.0998593485510153,12.487028981280197,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,10,0.7000000000000001,0.0
8,43.28803504628295,-5.1676980111791995,0.7489165871181791,5.319385534880375,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,10,0.5,0.2
274,43.11344456958604,-21.32135377309001,0.6543947710371159,21.32135377309001,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,75,0.8,0.2
165,43.03115287113256,-7.725428419448409,0.4504727129165265,7.801272181298996,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,64,256,75,0.7000000000000001,0.5
327,42.76850364663849,-17.19846269297524,1.1603827993718232,17.19846269297524,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,10,0.9,0.4
317,42.76745266189564,-22.37993395654597,1.430798510576073,22.37993395654597,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,10,0.9,0.1
143,42.73105164327942,-16.517790934678946,0.4766068114824294,16.517790934678946,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,10,0.7000000000000001,0.0
36,42.666772967578964,-7.39664615815838,1.0151016805773716,7.39664615815838,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,10,0.5,0.0
160,42.606572011405795,-7.6336742536035604,0.7857534386853717,7.6336742536035604,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,10,0.7000000000000001,0.5
280,42.471552546056884,-12.582414582270852,1.2292650478980878,12.582414582270852,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,10,0.8,0.4
60,42.41464156268195,-6.012472388923233,0.19140313162804892,6.012472388923233,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,10,0.5,0.1
321,42.411915567115024,-19.756354872476162,1.286296789364736,19.756354872476162,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,10,0.9,0.30000000000000004
37,42.39179396458418,-5.040146989206665,1.487476257652662,5.137251196005142,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,10,0.5,0.4
59,42.07670534796487,-3.0072437346680303,0.4296072291698071,3.682737189287698,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,10,0.5,0.5
158,42.062034495730316,-18.23041385191651,0.9932486582581236,18.23041385191651,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,64,256,75,0.7000000000000001,0.0
318,41.45705721502467,-22.559942732921083,0.7011441679988976,22.559942732921083,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,10,0.9,0.2
271,40.84753677097648,-19.97936164283165,0.8727160658737017,19.97936164283165,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,10,0.8,0.0
79,40.67317731204227,-11.80459391416074,-0.006105782727221559,11.80459391416074,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,10,0.6000000000000001,0.1
266,40.55087386854978,-16.931030529396722,0.05479112770109667,16.931030529396722,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,10,0.8,0.1
309,39.89220466494275,-24.702131264308626,1.1333620160628775,24.702131264308626,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,10,0.9,0.0
84,39.88581373341955,-8.273388906920859,0.2715937234921843,8.273388906920859,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,10,0.6000000000000001,0.30000000000000004
43,39.66839496506471,-10.413629469828852,0.5960735474841847,10.413629469828852,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,10,0.6000000000000001,0.2
277,39.06794937532076,-26.048457259668858,0.5677655606340766,26.048457259668858,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,75,0.8,0.30000000000000004
83,39.03817943011324,-12.246816983959363,0.389048455680098,12.246816983959363,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,64,256,75,0.6000000000000001,0.2
